epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7574,1.94837,3.09664,1.85206,0.0002,0.05952,0.00013,5e-05,2.65629,inf,4.21661,0.070219,0.003309,0.003309
2,68.1927,1.91356,2.42512,1.79,0.06856,0.08191,0.02372,0.00972,2.63454,6.06141,2.67321,0.0401861,0.00660946,0.00660946
3,99.974,1.81688,2.14687,1.70294,0.12986,0.28521,0.11193,0.05199,1.95743,4.76566,1.99241,0.0101202,0.00987691,0.00987691
4,132.997,1.77979,2.04011,1.71613,0.31075,0.16168,0.07659,0.03147,2.41554,4.79053,2.54383,0.0098515,0.0098515,0.0098515
5,165.672,1.7479,2.00564,1.67938,0.50824,0.44746,0.44073,0.21061,1.94135,2.1185,1.89829,0.009802,0.009802,0.009802
6,198.504,1.71624,1.83353,1.6238,0.32602,0.40764,0.27883,0.12991,1.82893,2.19666,1.81846,0.0097525,0.0097525,0.0097525
7,231.242,1.66788,1.75368,1.60972,0.63855,0.52358,0.58371,0.324,1.6429,1.66645,1.6971,0.009703,0.009703,0.009703
8,263.906,1.64349,1.66787,1.57895,0.59258,0.52478,0.53692,0.30133,1.601,1.64791,1.65273,0.0096535,0.0096535,0.0096535
9,296.683,1.64378,1.68621,1.5766,0.55767,0.42793,0.47364,0.25701,1.6062,2.74479,1.67865,0.009604,0.009604,0.009604
10,329.214,1.65264,1.74141,1.60377,0.69794,0.4169,0.55387,0.31447,1.61196,1.81037,1.68763,0.0095545,0.0095545,0.0095545
11,361.843,1.64659,1.67968,1.60236,0.62154,0.51798,0.52525,0.28178,1.70744,1.83748,1.71957,0.009505,0.009505,0.009505
12,394.583,1.6111,1.6276,1.55857,0.54666,0.45801,0.47952,0.2752,1.62094,2.33626,1.70973,0.0094555,0.0094555,0.0094555
13,427.33,1.62892,1.65722,1.58224,0.60513,0.46864,0.52008,0.29515,1.58382,2.40133,1.63068,0.009406,0.009406,0.009406
14,460.057,1.577,1.57743,1.53471,0.65321,0.57859,0.63162,0.36588,1.5383,1.43003,1.6044,0.0093565,0.0093565,0.0093565
15,492.685,1.60418,1.54361,1.52592,0.60184,0.57023,0.58499,0.31832,1.63048,1.8355,1.6588,0.009307,0.009307,0.009307
16,525.55,1.60924,1.56512,1.56948,0.68044,0.56611,0.62263,0.35863,1.5671,1.40339,1.60738,0.0092575,0.0092575,0.0092575
